rails,20,2747,-1
composite_primary_keys,31,35,-1
aasm,25,48,-1
active_model_serializers,0,0,0
activemodel-serializers-xml,17,12,1
activerecord-cursor,0,0,0
activerecord-import,0,62,-1
activerecord6-redshift-adapter,180,371,-1
addressable,10,13,-1
apollo_upload_server,0,0,0
asset_sync,1,17,-1
awesome_print,0,26,-1
aws-sdk-cloudsearch,306,263,1
bcrypt,0,0,0
bootstrap-sass,0,34,-1
browser,17,0,1
capistrano,0,37,-1
carmen,5,10,-1
coffee-rails,0,1,-1
coffee-script-source,0,1,-1
committee,1,48,-1
connection_pool,0,17,-1
counter_culture,15,10,1
daemons,0,13,-1
dalli,8,30,-1
delayed_job_active_record,0,1,-1
discard,0,0,0
dkim,3,2,1
doorkeeper,0,32,-1
draper,6,13,-1
dynamoid,1,118,-1
ejs,0,2,-1
exception_notification,0,30,-1
faker,1,69,-1
faker-japanese,3,0,1
faraday,0,51,-1
faraday-cookie_jar,0,0,0
faraday_middleware,0,14,-1
fastimage,3,3,0
fog-aws,281,366,-1
font-awesome-sass,0,0,0
gon,0,8,-1
google-apis-androidpublisher_v3,1,109,-1
graphql,18,606,-1
graphql-batch,0,27,-1
hana,0,5,-1
hashie,0,71,-1
her,0,36,-1
holiday_jp,0,0,0
httparty,22,25,-1
httpclient,20,95,-1
hubspot-api-client,0,3273,-1
i18n-js,14,7,1
iconv,12,0,1
jb,5,2,1
jbuilder,3,19,-1
jmespath,0,7,-1
jwt,0,13,-1
kaminari,63,3,1
kintone,0,5,-1
legato,20,10,1
mail,24,149,-1
mechanize,12,246,-1
memoist,0,9,-1
mini_racer,17,5,1
msgpack,64,10,1
mustache,2,13,-1
mysql2,0,22,-1
net-ssh,1,108,-1
newrelic_rpm,115,336,-1
nokogiri,7,178,-1
non-stupid-digest-assets,0,0,0
oauth,9,28,-1
oauth2,0,18,-1
oj,4,106,-1
omniauth-rails_csrf_protection,0,0,0
omniauth-slack,0,0,0
paper_trail,0,42,-1
parallel,14,26,-1
phonelib,0,22,-1
public_suffix,0,3,-1
rainbow,0,2,-1
regexp_trie,0,1,-1
representable,1,112,-1
request_store,0,0,0
rest-client,17,17,0
retriable,0,6,-1
rinku,0,2,-1
rmagick,0,106,-1
rotp,0,8,-1
rqrcode,1,11,-1
sassc-rails,0,10,-1
secure_headers,0,24,-1
seed-fu,0,4,-1
sendgrid-ruby,0,30,-1
settingslogic,2,0,1
shoryuken,0,35,-1
signet,18,60,-1
slack-notifier,0,1,-1
slack-ruby-client,0,3,-1
slim-rails,1,1,0
sprockets,7,204,-1
stripe,0,42,-1
switch_point,0,0,0
tzinfo-data,26,0,1
uglifier,0,2,-1
urbanairship,13,5,1
vcard,3,34,-1
whenever,0,8,-1
xml-simple,3,36,-1
zstd-ruby,0,0,0
puma,28,138,-1
better_errors,0,17,-1
binding_of_caller,0,0,0
erb_lint,0,36,-1
guard-rspec,0,9,-1
letter_opener_web,0,7,-1
listen,0,27,-1
parallel_tests,0,79,-1
rack-cors,0,10,-1
sinatra,10,211,-1
spring,2,35,-1
spring-commands-rspec,0,0,0
spring-commands-rubocop,0,0,0
spring-commands-teaspoon,0,0,0
spring-watcher-listen,0,6,-1
web-console,0,11,-1
capybara-screenshot,2,13,-1
database_cleaner-active_record,1,7,-1
fake_ftp,0,3,-1
rails-controller-testing,1,4,-1
rspec_junit_formatter,0,5,-1
ruby-prof,30,10,1
shoulda-matchers,3,42,-1
simplecov,3,27,-1
stripe-ruby-mock,82,59,1
stackprof,10,19,-1
test-prof,0,73,-1
timecop,0,0,0
webmock,84,83,1
bootsnap,0,18,-1
byebug,0,43,-1
capybara,0,253,-1
dotenv-rails,0,6,-1
factory_bot_rails,0,3,-1
fuubar,0,0,0
i18n-tasks,1,148,-1
pry-byebug,0,3,-1
pry-rails,0,9,-1
rspec,0,0,0
rspec-collection_matchers,3,2,1
rspec-its,3,1,1
rspec-parameterized,2,4,-1
rspec-rails,4,58,-1
rubocop,69,1307,-1
rubocop-rails,0,156,-1
rubocop-rspec,0,98,-1
selenium-webdriver,0,106,-1
teaspoon,0,69,-1
teaspoon-mocha,0,69,-1
coverband,0,60,-1
sum,1811,14246
